Page 1 | Text: TAX | x: 3.99, y: 0.90, width: 0.23, height: 0.12
Page 1 | Text: INVOICE | x: 4.25, y: 0.90, width: 0.53, height: 0.13
Page 1 | Text: GREENGLOBE | x: 1.69, y: 1.18, width: 0.92, height: 0.16
Page 1 | Text: FUEL | x: 2.64, y: 1.18, width: 0.35, height: 0.16
Page 1 | Text: SOLUTIONS | x: 3.01, y: 1.18, width: 0.80, height: 0.16
Page 1 | Text: PVT. | x: 3.83, y: 1.18, width: 0.31, height: 0.16
Page 1 | Text: LTD. | x: 4.18, y: 1.19, width: 0.29, height: 0.15
Page 1 | Text: UNIT | x: 1.68, y: 1.46, width: 0.21, height: 0.11
Page 1 | Text: NO. | x: 1.91, y: 1.46, width: 0.18, height: 0.11
Page 1 | Text: 1-5, | x: 2.11, y: 1.46, width: 0.16, height: 0.11
Page 1 | Text: BUILDING | x: 2.29, y: 1.46, width: 0.42, height: 0.11
Page 1 | Text: NO. | x: 2.73, y: 1.46, width: 0.17, height: 0.11
Page 1 | Text: 05, | x: 2.93, y: 1.46, width: 0.15, height: 0.11
Page 1 | Text: RADHE | x: 3.10, y: 1.46, width: 0.30, height: 0.11
Page 1 | Text: KRISHNA | x: 3.42, y: 1.46, width: 0.39, height: 0.11
Page 1 | Text: INDUSTRIAL | x: 3.83, y: 1.46, width: 0.53, height: 0.11
Page 1 | Text: PARK | x: 4.38, y: 1.47, width: 0.22, height: 0.10
Page 1 | Text: SURVEY | x: 1.68, y: 1.60, width: 0.33, height: 0.11
Page 1 | Text: NO. | x: 2.03, y: 1.60, width: 0.17, height: 0.11
Page 1 | Text: 65, | x: 2.22, y: 1.60, width: 0.13, height: 0.11
Page 1 | Text: MUMBAI-NASHIK | x: 2.37, y: 1.60, width: 0.75, height: 0.12
Page 1 | Text: ROAD, | x: 3.15, y: 1.60, width: 0.29, height: 0.11
Page 1 | Text: VILLAGE- | x: 3.46, y: 1.60, width: 0.38, height: 0.11
Page 1 | Text: PIMPLAS, | x: 3.86, y: 1.60, width: 0.42, height: 0.11
Page 1 | Text: TAL- | x: 4.30, y: 1.61, width: 0.18, height: 0.11
Page 1 | Text: BHIWANDI | x: 1.68, y: 1.74, width: 0.47, height: 0.11
Page 1 | Text: THANE-421302, | x: 2.16, y: 1.74, width: 0.66, height: 0.12
Page 1 | Text: MAHARASHTRA, | x: 2.84, y: 1.74, width: 0.72, height: 0.11
Page 1 | Text: INDIA | x: 3.58, y: 1.75, width: 0.25, height: 0.11
Page 1 | Text: Mobile | x: 1.67, y: 1.88, width: 0.30, height: 0.11
Page 1 | Text: No. | x: 1.99, y: 1.89, width: 0.15, height: 0.11
Page 1 | Text: - | x: 2.16, y: 1.89, width: 0.04, height: 0.11
Page 1 | Text: Dispatch | x: 2.22, y: 1.89, width: 0.36, height: 0.11
Page 1 | Text: : | x: 2.61, y: 1.89, width: 0.05, height: 0.11
Page 1 | Text: 7718801145 | x: 2.68, y: 1.89, width: 0.52, height: 0.11
Page 1 | Text: Billing | x: 1.67, y: 2.02, width: 0.26, height: 0.11
Page 1 | Text: & | x: 1.96, y: 2.03, width: 0.07, height: 0.11
Page 1 | Text: Documents | x: 2.05, y: 2.03, width: 0.49, height: 0.11
Page 1 | Text: : | x: 2.56, y: 2.03, width: 0.06, height: 0.11
Page 1 | Text: 7718801149 | x: 2.64, y: 2.03, width: 0.52, height: 0.11
Page 1 | Text: / | x: 3.18, y: 2.03, width: 0.05, height: 0.11
Page 1 | Text: 50 | x: 3.25, y: 2.03, width: 0.11, height: 0.12
Page 1 | Text: EMAIL: | x: 1.67, y: 2.17, width: 0.30, height: 0.11
Page 1 | Text: sales@greenglobe.world, | x: 1.99, y: 2.17, width: 1.11, height: 0.12
Page 1 | Text: ggaccounts@greenglobe.world; | x: 3.12, y: 2.17, width: 1.37, height: 0.12
Page 1 | Text: CIN-U23200MH2022PTC383112 | x: 1.67, y: 2.31, width: 1.22, height: 0.11
Page 1 | Text: IRN | x: 0.71, y: 2.54, width: 0.14, height: 0.10
Page 1 | Text: No. | x: 0.88, y: 2.54, width: 0.17, height: 0.09
Page 1 | Text: :- | x: 1.06, y: 2.55, width: 0.08, height: 0.09
Page 1 | Text: bb2547493c01d23694118ff858500b9c6efe1f540e48a4ff7b7d5 | x: 1.66, y: 2.53, width: 2.66, height: 0.11
Page 1 | Text: 0f08dd68647 | x: 1.66, y: 2.68, width: 0.55, height: 0.10
Page 1 | Text: E-way | x: 0.71, y: 2.85, width: 0.26, height: 0.11
Page 1 | Text: Billl | x: 0.99, y: 2.85, width: 0.16, height: 0.11
Page 1 | Text: No. | x: 1.17, y: 2.85, width: 0.15, height: 0.11
Page 1 | Text: : | x: 1.34, y: 2.85, width: 0.05, height: 0.11
Page 1 | Text: 282030608715 | x: 1.67, y: 2.86, width: 0.62, height: 0.10
Page 1 | Text: GSTIN | x: 0.71, y: 3.04, width: 0.22, height: 0.10
Page 1 | Text: No | x: 0.97, y: 3.04, width: 0.11, height: 0.09
Page 1 | Text: 27AAJCG7930M1Z1 | x: 1.56, y: 3.03, width: 0.74, height: 0.11
Page 1 | Text: STATE | x: 2.78, y: 3.05, width: 0.22, height: 0.09
Page 1 | Text: CODE | x: 3.02, y: 3.05, width: 0.22, height: 0.09
Page 1 | Text: 27 | x: 3.74, y: 3.05, width: 0.09, height: 0.10
Page 1 | Text: Invoice | x: 4.24, y: 3.06, width: 0.30, height: 0.09
Page 1 | Text: No | x: 4.57, y: 3.06, width: 0.12, height: 0.09
Page 1 | Text: PAN | x: 0.71, y: 3.24, width: 0.14, height: 0.09
Page 1 | Text: No | x: 0.89, y: 3.24, width: 0.11, height: 0.09
Page 1 | Text: AAJCG7930M | x: 1.54, y: 3.24, width: 0.48, height: 0.10
Page 1 | Text: Invoice | x: 4.23, y: 3.25, width: 0.30, height: 0.09
Page 1 | Text: Date | x: 4.57, y: 3.25, width: 0.19, height: 0.09
Page 1 | Text: PO | x: 0.71, y: 3.47, width: 0.10, height: 0.09
Page 1 | Text: No. | x: 0.84, y: 3.48, width: 0.15, height: 0.09
Page 1 | Text: RJDP/P02/1101635/34000773 | x: 1.54, y: 3.45, width: 1.27, height: 0.12
Page 1 | Text: DATED | x: 2.82, y: 3.46, width: 0.28, height: 0.12
Page 1 | Text: 03.07.2025 | x: 3.12, y: 3.46, width: 0.48, height: 0.11
Page 1 | Text: PAYMENT | x: 0.65, y: 3.64, width: 0.37, height: 0.10
Page 1 | Text: TERMS | x: 1.04, y: 3.64, width: 0.28, height: 0.10
Page 1 | Text: 45 | x: 1.54, y: 3.65, width: 0.09, height: 0.10
Page 1 | Text: Days | x: 1.65, y: 3.66, width: 0.18, height: 0.10
Page 1 | Text: DELIVERY | x: 4.23, y: 3.65, width: 0.38, height: 0.10
Page 1 | Text: TERMS | x: 4.62, y: 3.65, width: 0.26, height: 0.10
Page 1 | Text: LR | x: 0.70, y: 3.88, width: 0.09, height: 0.09
Page 1 | Text: No | x: 0.83, y: 3.88, width: 0.12, height: 0.10
Page 1 | Text: NA | x: 1.53, y: 3.89, width: 0.12, height: 0.09
Page 1 | Text: LR | x: 0.70, y: 4.05, width: 0.10, height: 0.10
Page 1 | Text: DATE | x: 0.83, y: 4.05, width: 0.22, height: 0.10
Page 1 | Text: 30/08/2025 | x: 1.54, y: 4.06, width: 0.50, height: 0.11
Page 1 | Text: NO | x: 2.60, y: 3.89, width: 0.12, height: 0.09
Page 1 | Text: OF | x: 2.74, y: 3.88, width: 0.11, height: 0.10
Page 1 | Text: PACKAGES | x: 2.87, y: 3.88, width: 0.41, height: 0.10
Page 1 | Text: 5 | x: 3.50, y: 3.90, width: 0.05, height: 0.09
Page 1 | Text: GROSS | x: 2.63, y: 4.05, width: 0.26, height: 0.10
Page 1 | Text: WEIGHT | x: 2.90, y: 4.05, width: 0.32, height: 0.10
Page 1 | Text: INSURANCE | x: 4.18, y: 3.90, width: 0.47, height: 0.09
Page 1 | Text: Tata | x: 4.79, y: 3.94, width: 0.17, height: 0.10
Page 1 | Text: AIG | x: 4.99, y: 3.94, width: 0.13, height: 0.10
Page 1 | Text: General | x: 4.79, y: 4.09, width: 0.32, height: 0.10
Page 1 | Text: CO | x: 4.19, y: 4.04, width: 0.10, height: 0.09
Page 1 | Text: NAME | x: 4.32, y: 4.04, width: 0.25, height: 0.09
Page 1 | Text: 384 | x: 3.49, y: 4.09, width: 0.16, height: 0.10
Page 1 | Text: TRANSPORTER | x: 0.70, y: 4.26, width: 0.62, height: 0.10
Page 1 | Text: ARC | x: 1.53, y: 4.27, width: 0.17, height: 0.10
